City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ahmadpur East,PK,79.74,clear sky,29.1431,71.2598,
5,Cape Town,ZA,59.41,few clouds,-33.9258,18.4232,
6,Debre Tabor,ET,57.85,light rain,11.85,38.0167,
8,Castro,BR,63.63,overcast clouds,-24.7911,-50.0119,
9,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,
10,San Jeronimo,PE,47.98,overcast clouds,-11.9472,-75.2829,
12,Punta Arenas,CL,44.71,scattered clouds,-53.15,-70.9167,
13,Margate,GB,46.31,overcast clouds,51.3813,1.3862,
14,Bredasdorp,ZA,58.32,overcast clouds,-34.5322,20.0403,
18,Busselton,AU,64.51,few clouds,-33.65,115.3333,
19,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,
21,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,
22,Tuatapere,NZ,63.48,scattered clouds,-46.1333,167.6833,
25,Laguna,US,68.29,clear sky,38.421,-121.4238,
26,Usagara,TZ,65.89,broken clouds,-2.6833,33.0,
29,Katsuura,JP,62.62,overcast clouds,35.1333,140.3,
32,Surt,LY,56.82,few clouds,31.2089,16.5887,
33,Bone,DE,42.3,clear sky,51.9669,12.1396,
34,Mataura,NZ,64.47,scattered clouds,-46.1927,168.8643,
36,Palaikastron,GR,46.8,scattered clouds,35.2,26.25,
37,Port Elizabeth,ZA,63.1,few clouds,-33.918,25.5701,
39,Ponta Delgada,PT,56.5,broken clouds,37.7333,-25.6667,
40,Richards Bay,ZA,76.14,clear sky,-28.783,32.0377,
41,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,
43,Taoudenni,ML,76.82,clear sky,22.6783,-3.9836,
44,Aswan,EG,57.54,clear sky,24.0934,32.907,
47,Virginia Beach,US,44.02,clear sky,36.8529,-75.978,
48,Port Alfred,ZA,67.37,light rain,-33.5906,26.891,
50,Bluff,NZ,64.8,few clouds,-46.6,168.3333,
52,Sinnamary,GF,76.59,overcast clouds,5.3833,-52.95,
54,Hamilton,US,50.95,clear sky,39.1834,-84.5333,
56,Aksu,CN,53.19,overcast clouds,41.1231,80.2644,
60,Galle,LK,78.82,overcast clouds,6.0367,80.217,
61,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,
62,Touros,BR,79.84,broken clouds,-5.1989,-35.4608,
63,Ribeira Grande,PT,56.17,overcast clouds,38.5167,-28.7,
65,Ponta Do Sol,PT,58.12,scattered clouds,32.6667,-17.1,
71,Hasaki,JP,61.2,moderate rain,35.7333,140.8333,
72,Gat,IL,47.8,overcast clouds,31.61,34.7642,
74,Bystrzyca Klodzka,PL,40.75,clear sky,50.3018,16.6423,
79,Andros Town,BS,71.56,broken clouds,24.7,-77.7667,
80,Pisco,PE,73.45,few clouds,-13.7,-76.2167,
82,Dambulla,LK,70.36,overcast clouds,7.86,80.6517,
83,Vao,NC,79.72,few clouds,-22.6667,167.4833,
85,Chachapoyas,PE,57.15,overcast clouds,-6.2317,-77.869,
86,Natalio,PY,68.85,clear sky,-26.7167,-55.0833,
87,Halle,DE,40.91,clear sky,51.5,12.0,
88,Temascalcingo,MX,73.31,clear sky,19.9167,-100.0,
89,San Gabriel Casa Blanca,MX,78.76,clear sky,18.15,-97.1333,
90,Cidreira,BR,68.65,overcast clouds,-30.1811,-50.2056,
93,Dawlatabad,AF,58.62,overcast clouds,36.4141,64.9053,
99,Meulaboh,ID,76.73,broken clouds,4.1363,96.1285,
100,Geraldton,AU,64.81,clear sky,-28.7667,114.6,
103,Atuona,PF,78.91,overcast clouds,-9.8,-139.0333,
104,Muros,ES,45.84,light rain,42.7762,-9.0603,
106,Port Lincoln,AU,73.51,overcast clouds,-34.7333,135.8667,
107,Keshorai Patan,IN,76.03,clear sky,25.3,75.9333,
108,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,
109,Tura,IN,68.7,few clouds,25.5198,90.2201,
110,Saint George,US,69.64,clear sky,37.1041,-113.5841,
111,Goure,NE,78.03,overcast clouds,13.9835,10.2704,
112,Angoche,MZ,76.82,moderate rain,-16.2325,39.9086,
117,Adrar,MR,70.02,clear sky,20.5022,-10.0711,
118,Asfi,MA,59.13,overcast clouds,32.2994,-9.2372,
120,Weston,US,70.02,broken clouds,26.1004,-80.3998,
122,Hermanus,ZA,52.81,overcast clouds,-34.4187,19.2345,
124,Saldanha,ZA,60.15,overcast clouds,-33.0117,17.9442,
125,Marsala,IT,53.89,scattered clouds,37.7966,12.4352,
126,Bijawar,IN,72.72,clear sky,24.6333,79.5,
128,Veraval,IN,78.17,clear sky,20.9,70.3667,
129,Ranfurly,NZ,66.11,few clouds,-45.1333,170.1,
130,Hobart,AU,62.46,broken clouds,-42.8794,147.3294,
131,Constitucion,CL,61.72,clear sky,-35.3333,-72.4167,
133,Kinston,US,46.72,clear sky,35.2627,-77.5816,
135,Amapa,BR,73.08,moderate rain,1.0,-52.0,
136,Arraial Do Cabo,BR,78.04,broken clouds,-22.9661,-42.0278,
141,Jaru,BR,75.54,overcast clouds,-10.4389,-62.4664,
149,Raudeberg,NO,47.07,light rain,61.9875,5.1352,
150,Naze,JP,67.12,clear sky,28.3667,129.4833,
153,San Quintin,MX,62.89,clear sky,30.4833,-115.95,
157,Dunedin,NZ,63.59,clear sky,-45.8742,170.5036,
159,Half Moon Bay,US,67.78,haze,37.4636,-122.4286,
161,Sawakin,SD,70.7,scattered clouds,19.1059,37.3321,
163,Mar Del Plata,AR,67.08,clear sky,-38.0023,-57.5575,
165,Tamiahua,MX,66.65,overcast clouds,21.2667,-97.45,
166,Biak,ID,76.78,broken clouds,-0.9131,122.8766,
167,Mbour,SN,70.65,clear sky,14.422,-16.9638,
170,Perth,AU,69.67,clear sky,-31.9333,115.8333,
171,Gurupa,BR,74.8,light rain,-1.405,-51.64,
173,Yining,CN,67.05,scattered clouds,29.0361,114.5636,
174,Bereda,ES,42.58,broken clouds,43.2686,-7.5406,
175,Vila Franca Do Campo,PT,56.19,overcast clouds,37.7167,-25.4333,
179,Cockburn Town,TC,77.9,clear sky,21.4612,-71.1419,
180,Bubaque,GW,75.6,overcast clouds,11.2833,-15.8333,
181,Coihaique,CL,54.21,scattered clouds,-45.5752,-72.0662,
185,Marzuq,YE,61.72,scattered clouds,14.4,46.4667,
186,Rianxo,ES,47.25,light rain,42.6498,-8.8176,
187,Byron Bay,AU,73.29,light rain,-28.65,153.6167,
188,Mucurapo,TT,79.25,overcast clouds,10.6667,-61.5333,
189,Boueni,YT,78.78,overcast clouds,-12.9025,45.0761,
190,Lebu,CL,59.27,clear sky,-37.6167,-73.65,
192,Nuevo Progreso,MX,67.53,broken clouds,23.1667,-97.95,
193,Esperance,AU,66.04,scattered clouds,-33.8667,121.9,
194,Victoria,HK,72.32,broken clouds,22.2855,114.1577,
197,Namie,JP,58.71,overcast clouds,37.4833,141.0,
198,Acari,PE,76.08,overcast clouds,-15.4311,-74.6158,
199,Mayumba,GA,77.92,overcast clouds,-3.432,10.6554,
200,Esmeraldas,BR,79.84,overcast clouds,-19.7625,-44.3139,
201,Shingu,JP,63.43,broken clouds,33.7333,135.9833,
202,Simmerath,DE,46.51,overcast clouds,50.6,6.3,
205,Hokitika,NZ,64.92,clear sky,-42.7167,170.9667,
206,Ilebo,CD,68.72,overcast clouds,-4.3167,20.5833,
207,Visnes,NO,45.21,scattered clouds,59.3556,5.2242,
208,Bilma,NE,67.42,clear sky,18.6853,12.9164,
209,Saryozek,KZ,42.15,overcast clouds,44.3583,77.9753,
210,North Bend,US,53.92,overcast clouds,43.4065,-124.2243,
211,Codrington,AU,66.38,moderate rain,-38.2667,141.9667,
212,Atar,MR,73.8,clear sky,20.5169,-13.0499,
213,Airai,TL,64.29,overcast clouds,-8.9266,125.4092,
214,Vaini,TO,78.96,moderate rain,-21.2,-175.2,
215,Fallon,US,58.87,scattered clouds,39.4735,-118.7774,
216,Puerto Ayacucho,VE,73.62,moderate rain,5.6639,-67.6236,
217,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,
218,Oriximina,BR,76.78,moderate rain,-1.7656,-55.8661,
221,Santa Ines,BR,74.52,broken clouds,-3.6667,-45.38,
223,Obo,CF,72.25,overcast clouds,5.3998,26.4869,
224,San Patricio,US,66.18,broken clouds,28.017,-97.5169,
225,Nhamunda,BR,76.5,overcast clouds,-2.1861,-56.7131,
226,Mount Gambier,AU,64.31,overcast clouds,-37.8333,140.7667,
227,Bagrami,AF,56.95,overcast clouds,34.4938,69.2743,
228,Iracoubo,GF,76.53,overcast clouds,5.4802,-53.2011,
229,Kruisfontein,ZA,60.89,light rain,-34.0033,24.7314,
230,Manavalakurichi,IN,77.14,overcast clouds,8.1333,77.3,
231,Mayo,US,43.21,clear sky,38.8876,-76.5119,
233,Dingle,PH,78.26,broken clouds,10.9995,122.6711,
234,Rocha,UY,58.3,clear sky,-34.4833,-54.3333,
236,Tagusao,PH,79.77,scattered clouds,9.1924,117.8141,
237,Sembe,CG,71.71,scattered clouds,1.6481,14.5806,
239,San Juan De Abajo,MX,76.68,few clouds,20.8167,-105.1833,
241,Caravelas,BR,78.3,overcast clouds,-17.7125,-39.2481,
243,Muskogee,US,64.62,clear sky,35.5834,-95.3336,
245,Tessalit,ML,74.86,clear sky,20.1986,1.0114,
248,Bella Union,UY,64.42,clear sky,-30.2752,-57.6007,
249,Marawi,PH,71.49,broken clouds,7.9986,124.2928,
250,Palasa,IN,73.31,overcast clouds,18.7667,84.4167,
251,Kodiak,US,40.51,light rain,57.79,-152.4072,
252,Saint Pete Beach,US,67.14,clear sky,27.7253,-82.7412,
254,Baglung,NP,60.01,clear sky,28.2719,83.5898,
255,Sayan,PE,73.33,moderate rain,-11.1361,-77.1933,
256,Vercelli,IT,46.74,light rain,45.3231,8.4153,
258,Salalah,OM,73.49,clear sky,17.0151,54.0924,
259,Baker City,US,42.58,overcast clouds,44.7749,-117.8344,
261,Arica,CL,74.75,clear sky,-18.475,-70.3042,
264,Griffith,US,50.9,clear sky,41.5284,-87.4237,
265,Lander,US,46.8,clear sky,42.833,-108.7307,
266,Yueyang,CN,69.85,broken clouds,29.3333,113.0919,
267,Sao Filipe,CV,71.83,clear sky,14.8961,-24.4956,
268,Kribi,CM,79.54,overcast clouds,2.95,9.9167,
269,Port Hardy,CA,48.38,light intensity shower rain,50.6996,-127.4199,
270,Nelson Bay,AU,74.1,scattered clouds,-32.7167,152.15,
273,Fortuna,US,58.08,clear sky,40.5982,-124.1573,
275,Nola,IT,49.86,clear sky,40.922,14.5329,
276,Dwarka,IN,76.03,clear sky,22.2394,68.9678,
277,Roald,NO,52.72,overcast clouds,62.5833,6.1333,
279,Klaksvik,FO,43.72,overcast clouds,62.2266,-6.589,
280,Talcahuano,CL,69.48,clear sky,-36.7167,-73.1167,
283,Coueron,FR,47.88,clear sky,47.2151,-1.7217,
284,Ponca City,US,68.02,clear sky,36.707,-97.0856,
286,East London,ZA,69.57,light rain,-33.0153,27.9116,
287,Avera,US,53.65,clear sky,33.194,-82.5271,
291,Sur,OM,78.93,scattered clouds,22.5667,59.5289,
295,Ukiah,US,64.36,clear sky,39.1502,-123.2078,
296,Hanmer Springs,NZ,63.36,few clouds,-42.5167,172.8167,
299,Otane,NZ,61.02,overcast clouds,-39.8833,176.6333,
301,Kharan,PK,75.76,scattered clouds,28.5833,65.4167,
304,Rawson,AR,63.59,scattered clouds,-43.3002,-65.1023,
306,Ketchikan,US,45.07,overcast clouds,55.3422,-131.6461,
313,Lata,PT,47.07,broken clouds,40.1629,-8.3327,
314,Nouadhibou,MR,64.38,sand,20.931,-17.0347,
315,Mosquera,CO,60.89,light intensity drizzle,4.7059,-74.2302,
316,Hella,NO,41.14,few clouds,67.2,14.4333,
317,Zhangye,CN,45.97,few clouds,38.9342,100.4517,
318,Chontalpa,MX,63.32,overcast clouds,17.7,-93.5167,
320,Kawalu,ID,73.22,overcast clouds,-7.3817,108.2082,
321,Nabire,ID,78.75,light rain,-3.3667,135.4833,
322,Huejuquilla El Alto,MX,75.7,clear sky,22.6,-103.8667,
323,Nautla,MX,66.42,scattered clouds,20.2167,-96.7833,
326,Petauke,ZM,62.56,overcast clouds,-14.2426,31.3253,
329,Te Anau,NZ,65.16,broken clouds,-45.4167,167.7167,
331,San Vicente,AR,65.86,scattered clouds,-26.6167,-54.1333,
333,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,
335,Batticaloa,LK,79.27,overcast clouds,7.7102,81.6924,
336,Bambous Virieux,MU,79.05,moderate rain,-20.3428,57.7575,
337,Blackwater,AU,76.57,broken clouds,-23.5833,148.8833,
343,Sompeta,IN,75.7,overcast clouds,18.9333,84.6,
345,Cradock,ZA,64.0,light rain,-32.1642,25.6192,
346,Russell,US,58.28,clear sky,32.3502,-85.1999,
347,Mana,GF,76.14,overcast clouds,5.6592,-53.7767,
348,Hagere Hiywet,ET,62.11,overcast clouds,8.9833,37.85,
349,Santa Maria Da Vitoria,BR,78.13,broken clouds,-13.3947,-44.1886,
352,Puerto Madryn,AR,67.06,scattered clouds,-42.7692,-65.0385,
353,Kaitangata,NZ,63.93,clear sky,-46.2817,169.8464,
355,Calhoun,US,42.94,clear sky,42.2506,-85.0005,
356,Lixourion,GR,44.22,overcast clouds,38.2019,20.4314,
357,Gabu,GW,76.93,broken clouds,12.2833,-14.2167,
358,Yumen,CN,46.54,scattered clouds,40.2833,97.2,
359,Marsa Matruh,EG,49.73,overcast clouds,31.3525,27.2453,
360,Port Blair,IN,77.04,mist,11.6667,92.75,
361,Tabat,ID,73.22,overcast clouds,-2.635,115.2274,
362,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,
364,Chuy,UY,60.62,clear sky,-33.6971,-53.4616,
367,Taree,AU,72.1,broken clouds,-31.9,152.4667,
368,Kuchinarai,TH,77.95,broken clouds,16.541,104.05,
371,Isoka,ZM,60.85,overcast clouds,-10.1606,32.6335,
376,Mapimi,MX,70.93,clear sky,25.8167,-103.85,
378,Trelew,AR,63.23,broken clouds,-43.249,-65.3051,
379,Fukue,JP,64.76,scattered clouds,32.6881,128.8419,
380,Tubuala,PA,78.93,scattered clouds,9.5167,-79.0333,
382,Tsabong,BW,66.69,light rain,-26.0217,22.401,
383,Sitka,US,44.49,overcast clouds,57.0531,-135.33,
386,Williams Lake,CA,42.37,broken clouds,52.1415,-122.1445,
387,Pakxan,LA,78.76,broken clouds,18.3778,103.6601,
388,Nagato,JP,58.19,overcast clouds,34.3833,131.2,
392,Da Lat,VN,62.74,overcast clouds,11.9465,108.4419,
393,Taybad,IR,69.13,overcast clouds,34.74,60.7756,
394,Macomb,US,53.55,clear sky,40.4592,-90.6718,
397,Bathurst,AU,73.72,clear sky,-33.4166,149.5806,
398,San Rafael,AR,72.79,clear sky,-34.6177,-68.3301,
399,Offa,NG,75.81,scattered clouds,8.15,4.7167,
401,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,
405,Marinette,US,44.69,broken clouds,45.1,-87.6307,
406,Guerrero Negro,MX,64.56,clear sky,27.9769,-114.0611,
407,Ellensburg,US,59.95,broken clouds,46.9965,-120.5479,
408,Coquimbo,CL,62.33,few clouds,-29.9533,-71.3436,
412,Saurimo,AO,60.93,overcast clouds,-9.6608,20.3916,
413,Phibun Mangsahan,TH,75.18,broken clouds,15.2447,105.2291,
416,Sikeston,US,57.24,clear sky,36.8767,-89.5879,
417,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,
420,Vestmanna,FO,41.92,overcast clouds,62.1564,-7.1664,
421,Putina,PE,46.65,scattered clouds,-15.4667,-69.4333,
426,Maldonado,UY,61.23,clear sky,-34.6667,-54.9167,
427,Kitaibaraki,JP,58.46,overcast clouds,36.7833,140.75,
428,Songadh,IN,76.69,clear sky,21.1667,73.5667,
431,Bandarbeyla,SO,76.8,broken clouds,9.4942,50.8122,
432,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,
434,Gamba,GA,77.49,overcast clouds,-2.65,10.0,
435,Owando,CG,71.31,overcast clouds,-0.4819,15.8999,
436,Trinidad,BO,78.78,broken clouds,-14.8333,-64.9,
437,Libertador General San Martin,AR,70.97,broken clouds,-23.8064,-64.7876,
438,Nioro,GM,75.74,few clouds,13.35,-15.75,
439,Mgandu,TZ,61.86,overcast clouds,-5.95,34.1333,
441,Joshimath,IN,50.14,clear sky,30.5667,79.5667,
442,Creel,MX,56.26,broken clouds,27.75,-107.6333,
444,Kasongo,CD,67.8,overcast clouds,-4.45,26.6667,
445,Mpika,ZM,60.24,overcast clouds,-11.8343,31.4529,
446,Liverpool,GB,45.82,few clouds,53.4106,-2.9779,
447,Necochea,AR,59.7,clear sky,-38.5473,-58.7368,
448,Rognan,NO,41.14,overcast clouds,67.0953,15.3878,
449,Isiro,CD,66.15,overcast clouds,2.7739,27.616,
450,Hoi An,VN,69.76,broken clouds,15.8794,108.335,
451,Wanning,CN,72.82,broken clouds,18.8003,110.3967,
452,Padang,ID,78.13,overcast clouds,-0.9492,100.3543,
453,Atambua,ID,78.91,overcast clouds,-9.1061,124.8925,
454,Findlay,US,48.85,clear sky,41.0442,-83.6499,
455,Eyl,SO,75.24,overcast clouds,7.9803,49.8164,
457,Chimbote,PE,73.62,broken clouds,-9.0853,-78.5783,
458,Ha Tinh,VN,70.25,overcast clouds,18.3333,105.9,
459,Xenia,US,50.11,clear sky,39.6848,-83.9296,
460,Mountain Home,US,51.28,broken clouds,43.133,-115.6912,
463,Jamame,SO,76.93,overcast clouds,0.0722,42.7506,
464,Buchanan,LR,79.16,light rain,5.8808,-10.0467,
466,Farafangana,MG,75.06,light rain,-22.8167,47.8333,
467,Harrisonville,US,64.42,clear sky,38.6533,-94.3488,
468,Waddan,LY,56.91,clear sky,29.1614,16.139,
470,Farah,AF,67.82,overcast clouds,32.5,62.5,
471,Guaratuba,BR,70.09,overcast clouds,-25.8828,-48.5747,
473,Trairi,BR,77.32,overcast clouds,-3.2778,-39.2689,
474,Hami,CN,51.71,overcast clouds,42.8,93.45,
475,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,
476,Matara,LK,75.47,broken clouds,5.9485,80.5353,
477,Ayotzintepec,MX,74.52,scattered clouds,17.6667,-96.1333,
478,Ancud,CL,55.22,broken clouds,-41.8697,-73.8203,
480,Omboue,GA,78.98,overcast clouds,-1.5746,9.2618,
482,Broken Hill,AU,74.91,light rain,-31.95,141.4333,
486,Trindade,BR,76.75,overcast clouds,-16.6494,-49.4889,
489,Jijiga,ET,64.09,clear sky,9.35,42.8,
491,Lompoc,US,76.01,few clouds,34.6391,-120.4579,
492,Plettenberg Bay,ZA,60.37,light rain,-34.0527,23.3716,
494,Mae Sai,TH,76.08,few clouds,20.4335,99.8762,
495,Beloha,MG,72.7,overcast clouds,-25.1667,45.05,
496,Kindu,CD,70.18,overcast clouds,-2.95,25.95,
497,Jardim,BR,71.33,overcast clouds,-21.4803,-56.1381,
498,Kiama,AU,74.25,few clouds,-34.6833,150.8667,
499,Camocim,BR,77.65,overcast clouds,-2.9022,-40.8411,
502,La Spezia,IT,51.08,overcast clouds,44.1105,9.8434,
503,Le Port,RE,78.76,overcast clouds,-20.9373,55.2919,
504,Ambilobe,MG,73.56,overcast clouds,-13.2,49.05,
505,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,
506,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,
507,Tarauaca,BR,71.35,overcast clouds,-8.1614,-70.7656,
508,Praia Da Vitoria,PT,54.75,few clouds,38.7333,-27.0667,
509,Lagoa,PT,55.18,broken clouds,39.05,-27.9833,
510,Barmer,IN,75.09,clear sky,25.75,71.3833,
514,Barra Do Bugres,BR,73.99,heavy intensity rain,-15.0725,-57.1811,
515,Healdsburg,US,68.02,scattered clouds,38.6105,-122.8692,
517,Northam,GB,43.39,broken clouds,51.0333,-4.2167,
521,Barranco,PA,75.25,few clouds,9.5167,-82.7,
522,Souillac,MU,79.18,light rain,-20.5167,57.5167,
524,Korla,CN,52.09,broken clouds,41.7597,86.1469,
525,Carndonagh,IE,44.47,overcast clouds,55.25,-7.2667,
526,Kismayo,SO,77.81,overcast clouds,-0.3582,42.5454,
528,Pawai,IN,71.31,clear sky,24.2667,80.1667,
529,Mahon,ES,55.96,few clouds,39.8885,4.2658,
530,Sistranda,NO,44.56,overcast clouds,63.7256,8.834,
532,Darab,IR,63.0,broken clouds,28.7519,54.5444,
533,Diego De Almagro,CL,67.6,clear sky,-26.3667,-70.05,
536,Beirut,LB,47.14,overcast clouds,33.8889,35.4944,
538,Ampanihy,MG,73.54,overcast clouds,-24.7,44.75,
539,Xai-Xai,MZ,72.77,clear sky,-25.0519,33.6442,
541,Seoul,KR,49.6,overcast clouds,37.5683,126.9778,
543,Cody,US,50.22,broken clouds,44.5263,-109.0565,
544,Saint-Pierre,RE,77.92,broken clouds,-21.3393,55.4781,
545,Huarmey,PE,74.01,overcast clouds,-10.0681,-78.1522,
546,Balaguer,ES,48.42,overcast clouds,41.7912,0.8109,
547,Moa,CU,76.24,clear sky,20.6569,-74.9403,
549,Dalbandin,PK,75.61,broken clouds,28.8947,64.4101,
550,Concordia,AR,69.78,clear sky,-31.393,-58.0209,
552,Powell River,CA,48.99,overcast clouds,49.8496,-124.5361,
554,Jinka,ET,74.01,overcast clouds,5.65,36.65,
555,Lexington Park,US,44.65,clear sky,38.2668,-76.4538,
556,Odweyne,SO,65.95,few clouds,9.4092,45.064,
557,Dolores,AR,60.46,clear sky,-36.3132,-57.6792,
558,Dongli,CN,66.18,few clouds,23.5656,116.8194,
559,Kyritz,DE,42.82,clear sky,52.9421,12.397,
560,Tocopilla,CL,69.71,few clouds,-22.092,-70.1979,
562,Gerash,IR,68.09,clear sky,27.6652,54.1371,
563,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,
564,Quatre Cocos,MU,78.91,moderate rain,-20.2078,57.7625,
565,Barra Patuca,HN,77.95,scattered clouds,15.8,-84.2833,
566,Loikaw,MM,70.86,few clouds,19.6742,97.2094,
567,Colina,BR,68.99,overcast clouds,-20.7133,-48.5408,
570,Wardha,IN,74.89,clear sky,20.75,78.6167,
571,Amritsar,IN,67.82,mist,31.6331,74.8656,
573,Jaisinghnagar,IN,65.66,clear sky,23.7,81.3833,
574,Marsh Harbour,BS,69.46,scattered clouds,26.5412,-77.0636,
575,Pithoragarh,IN,47.93,clear sky,29.5833,80.2167,
577,Labuhan,ID,79.47,overcast clouds,-6.8844,112.2051,
578,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,
579,Comarapa,BO,54.79,overcast clouds,-17.9,-64.4833,
580,Baijiantan,CN,44.49,overcast clouds,45.6333,85.1833,
581,Faya,SA,59.11,clear sky,18.3851,42.4509,
582,Portland,US,53.55,broken clouds,45.5234,-122.6762,
583,Kalabo,ZM,65.62,overcast clouds,-14.97,22.6814,
584,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,
586,Chalmette,US,57.99,clear sky,29.9427,-89.9634,
587,Hualmay,PE,73.49,overcast clouds,-11.0964,-77.6139,
589,Beidao,CN,54.46,scattered clouds,34.5686,105.8933,
590,Grand-Santi,GF,73.6,overcast clouds,4.25,-54.3833,
592,Miles City,US,41.97,overcast clouds,46.4083,-105.8406,
593,Kabinda,CD,63.86,overcast clouds,-6.1333,24.4833,
594,Portsoy,GB,46.18,overcast clouds,57.6814,-2.6896,
596,Tucumcari,US,73.24,clear sky,35.1717,-103.725,
597,Tongchuan,CN,53.33,broken clouds,35.0806,109.0897,
599,Hobyo,SO,78.31,overcast clouds,5.3505,48.5268,
600,Manacapuru,BR,76.89,heavy intensity rain,-3.2997,-60.6206,
601,Kalmunai,LK,78.64,overcast clouds,7.4167,81.8167,
602,Lodja,CD,69.28,overcast clouds,-3.4833,23.4333,
605,Toyooka,JP,53.58,overcast clouds,35.5333,134.8333,
606,Sydney,AU,76.1,few clouds,-33.8679,151.2073,
607,Darnah,LY,47.52,broken clouds,32.767,22.6367,
610,Jumla,NP,44.67,scattered clouds,29.2747,82.1838,
611,Hwange,ZW,68.68,broken clouds,-18.3693,26.5019,
612,Vrede,ZA,57.29,broken clouds,-27.4257,29.1659,
613,Moranbah,AU,79.29,overcast clouds,-22.0016,148.0466,
614,La Roda,ES,48.9,overcast clouds,39.2167,-2.15,
620,Clocolan,ZA,61.84,light rain,-28.9137,27.5656,
621,Selma,US,74.01,broken clouds,36.5708,-119.6121,
622,Saint Anthony,US,40.93,broken clouds,45.0205,-93.218,
623,Hambantota,LK,76.98,overcast clouds,6.1241,81.1185,
624,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,
629,Linhares,BR,74.98,scattered clouds,-19.3911,-40.0722,
636,Tukrah,LY,48.78,broken clouds,32.5341,20.5791,
637,San Francisco,US,66.31,broken clouds,37.7749,-122.4194,
638,Takoradi,GH,75.34,broken clouds,4.8845,-1.7554,
641,El Cobre,CU,76.44,scattered clouds,20.0489,-75.9469,
643,Marsabit,KE,72.68,broken clouds,2.3284,37.9899,
645,Waipawa,NZ,58.82,overcast clouds,-41.4122,175.5153,
646,Malegaon,IN,75.27,clear sky,20.55,74.5333,
647,Ngunguru,NZ,68.67,broken clouds,-35.6167,174.5,
649,Rio Claro,BR,69.21,overcast clouds,-22.4114,-47.5614,
650,Flinders,AU,74.05,few clouds,-34.5833,150.8552,
651,Ribas Do Rio Pardo,BR,71.26,overcast clouds,-20.4431,-53.7592,
652,Manthani,IN,75.09,clear sky,18.65,79.6667,
653,Hongjiang,CN,68.32,broken clouds,27.11,109.9956,
655,Brae,GB,45.54,overcast clouds,60.3964,-1.353,
656,Mocuba,MZ,70.83,light rain,-16.8392,36.9856,
657,Gejiu,CN,54.84,broken clouds,23.306,103.1635,
658,Rio Grande,BR,65.95,overcast clouds,-32.035,-52.0986,
659,Candolim,IN,78.8,haze,15.5181,73.7626,
660,Huilong,CN,58.93,overcast clouds,31.8111,121.655,
662,Nara,JP,58.5,overcast clouds,34.6851,135.8049,
664,Viedma,AR,73.65,scattered clouds,-40.8135,-62.9967,
665,Redondela,ES,49.24,clear sky,42.2834,-8.6096,
666,Palmerston North,NZ,67.5,overcast clouds,-40.35,175.6167,
667,Bosaso,SO,76.37,broken clouds,11.2842,49.1816,
669,Pemangkat,ID,78.48,overcast clouds,1.1667,108.9667,
