City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahmadpur East,PK,29.1431,71.2598,79.74,26,0,5.55,clear sky
1,Jamestown,US,42.097,-79.2353,27.01,55,100,10.36,overcast clouds
2,Temirtau,KZ,50.0544,72.9483,17.26,96,100,5.66,light snow
3,Puerto Ayora,EC,-0.7393,-90.3518,80.55,89,43,3.0,scattered clouds
4,Schwarzenbach,DE,49.7333,12.0,35.22,41,0,4.61,clear sky
5,Cape Town,ZA,-33.9258,18.4232,59.41,63,20,8.05,few clouds
6,Debre Tabor,ET,11.85,38.0167,57.85,64,88,0.67,light rain
7,Rikitea,PF,-23.1203,-134.9692,80.29,72,99,14.92,overcast clouds
8,Castro,BR,-24.7911,-50.0119,63.63,98,100,2.06,overcast clouds
9,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,86,12.21,light rain
10,San Jeronimo,PE,-11.9472,-75.2829,47.98,91,100,1.32,overcast clouds
11,Koutiala,ML,12.3917,-5.4642,86.36,14,81,8.16,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,34.52,scattered clouds
13,Margate,GB,51.3813,1.3862,46.31,90,100,16.26,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,58.32,63,99,8.05,overcast clouds
15,Djibo,BF,14.1022,-1.6306,84.9,16,99,8.79,overcast clouds
16,Oranjemund,NA,-28.55,16.4333,62.11,75,85,18.32,overcast clouds
17,Kenai,US,60.5544,-151.2583,30.15,62,100,31.07,overcast clouds
18,Busselton,AU,-33.65,115.3333,64.51,87,12,7.07,few clouds
19,Carnarvon,AU,-24.8667,113.6333,71.67,78,0,16.11,clear sky
20,Albany,US,42.6001,-73.9662,31.77,45,100,8.01,overcast clouds
21,Mahebourg,MU,-20.4081,57.7,79.09,83,20,6.91,few clouds
22,Tuatapere,NZ,-46.1333,167.6833,63.48,67,47,3.76,scattered clouds
23,Tadine,NC,-21.55,167.8833,81.36,77,47,9.86,scattered clouds
24,Pinega,RU,64.7001,43.3936,23.5,90,100,9.04,overcast clouds
25,Laguna,US,38.421,-121.4238,68.29,37,0,6.91,clear sky
26,Usagara,TZ,-2.6833,33.0,65.89,83,84,7.65,broken clouds
27,Longyearbyen,SJ,78.2186,15.6401,22.84,93,40,4.61,scattered clouds
28,Kapaa,US,22.0752,-159.319,80.58,68,20,9.22,few clouds
29,Katsuura,JP,35.1333,140.3,62.62,82,100,27.04,overcast clouds
30,Tual,ID,-5.6667,132.75,83.21,74,93,3.58,overcast clouds
31,Ostrovnoy,RU,68.0531,39.5131,25.9,88,100,1.19,overcast clouds
32,Surt,LY,31.2089,16.5887,56.82,69,12,14.14,few clouds
33,Bone,DE,51.9669,12.1396,42.3,52,0,10.07,clear sky
34,Mataura,NZ,-46.1927,168.8643,64.47,58,28,3.36,scattered clouds
35,Alofi,NU,-19.0595,-169.9187,84.09,74,10,4.61,clear sky
36,Palaikastron,GR,35.2,26.25,46.8,54,40,18.03,scattered clouds
37,Port Elizabeth,ZA,-33.918,25.5701,63.1,88,20,26.46,few clouds
38,Dikson,RU,73.5069,80.5464,-5.17,97,100,17.02,overcast clouds
39,Ponta Delgada,PT,37.7333,-25.6667,56.5,62,75,11.5,broken clouds
40,Richards Bay,ZA,-28.783,32.0377,76.14,82,0,13.13,clear sky
41,New Norfolk,AU,-42.7826,147.0587,62.1,63,100,2.19,overcast clouds
42,Takhtamygda,RU,54.1,123.5667,3.42,87,89,3.2,overcast clouds
43,Taoudenni,ML,22.6783,-3.9836,76.82,10,0,7.09,clear sky
44,Aswan,EG,24.0934,32.907,57.54,33,0,15.55,clear sky
45,Tasiilaq,GL,65.6145,-37.6368,30.36,87,100,29.62,light snow
46,Mandalgovi,MN,45.7625,106.2708,26.96,57,54,12.08,broken clouds
47,Virginia Beach,US,36.8529,-75.978,44.02,45,0,1.01,clear sky
48,Port Alfred,ZA,-33.5906,26.891,67.37,89,100,16.26,light rain
49,Tiksi,RU,71.6872,128.8694,-22.07,100,99,2.01,overcast clouds
50,Bluff,NZ,-46.6,168.3333,64.8,75,12,5.17,few clouds
51,Tilichiki,RU,60.4667,166.1,6.76,75,4,7.81,clear sky
52,Sinnamary,GF,5.3833,-52.95,76.59,92,100,12.1,overcast clouds
53,Severo-Kurilsk,RU,50.6789,156.125,30.79,82,95,4.94,overcast clouds
54,Hamilton,US,39.1834,-84.5333,50.95,44,0,17.27,clear sky
55,Chokurdakh,RU,70.6333,147.9167,-9.06,91,100,4.47,overcast clouds
56,Aksu,CN,41.1231,80.2644,53.19,30,100,4.99,overcast clouds
57,Gizo,SB,-8.103,156.8419,84.16,64,63,6.67,broken clouds
58,Pietarsaari,FI,63.65,22.6833,28.99,73,82,7.87,broken clouds
59,Suleja,NG,9.1758,7.1808,83.39,38,79,3.15,broken clouds
60,Galle,LK,6.0367,80.217,78.82,80,98,0.51,overcast clouds
61,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,85,75,6.91,broken clouds
62,Touros,BR,-5.1989,-35.4608,79.84,77,79,8.03,broken clouds
63,Ribeira Grande,PT,38.5167,-28.7,56.17,61,96,10.49,overcast clouds
64,Berlevag,NO,70.8578,29.0864,33.84,85,94,14.12,overcast clouds
65,Ponta Do Sol,PT,32.6667,-17.1,58.12,71,44,24.7,scattered clouds
66,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,40,11.5,scattered clouds
67,Khatanga,RU,71.9667,102.5,-4.49,98,100,10.58,overcast clouds
68,Kahului,US,20.8947,-156.47,87.82,42,20,20.71,few clouds
69,Itamaraca,BR,-7.7478,-34.8256,84.25,77,100,10.56,overcast clouds
70,Torbay,CA,47.6666,-52.7314,25.57,71,75,37.98,light snow
71,Hasaki,JP,35.7333,140.8333,61.2,73,100,21.39,moderate rain
72,Gat,IL,31.61,34.7642,47.8,100,94,4.41,overcast clouds
73,Fairbanks,US,64.8378,-147.7164,17.56,31,0,11.5,clear sky
74,Bystrzyca Klodzka,PL,50.3018,16.6423,40.75,48,0,6.87,clear sky
75,Ushuaia,AR,-54.8,-68.3,38.86,93,100,20.71,heavy intensity rain
76,Isangel,VU,-19.55,169.2667,84.96,64,27,4.38,scattered clouds
77,Yar-Sale,RU,66.8333,70.8333,-3.91,100,99,5.97,overcast clouds
78,Norman Wells,CA,65.282,-126.8329,-3.96,59,0,2.3,clear sky
79,Andros Town,BS,24.7,-77.7667,71.56,61,60,19.91,broken clouds
80,Pisco,PE,-13.7,-76.2167,73.45,73,20,5.75,few clouds
81,Barrow,US,71.2906,-156.7887,3.22,72,0,10.36,clear sky
82,Dambulla,LK,7.86,80.6517,70.36,91,93,3.24,overcast clouds
83,Vao,NC,-22.6667,167.4833,79.72,79,23,16.33,few clouds
84,Aksarka,RU,66.5606,67.7975,-4.74,100,99,5.77,overcast clouds
85,Chachapoyas,PE,-6.2317,-77.869,57.15,87,95,2.17,overcast clouds
86,Natalio,PY,-26.7167,-55.0833,68.85,56,0,3.69,clear sky
87,Halle,DE,51.5,12.0,40.91,44,0,13.8,clear sky
88,Temascalcingo,MX,19.9167,-100.0,73.31,18,5,12.82,clear sky
89,San Gabriel Casa Blanca,MX,18.15,-97.1333,78.76,44,5,8.23,clear sky
90,Cidreira,BR,-30.1811,-50.2056,68.65,89,100,13.67,overcast clouds
91,Narsaq,GL,60.9167,-46.05,28.62,54,100,31.25,light snow
92,Iqaluit,CA,63.7506,-68.5145,-22.27,67,75,9.22,broken clouds
93,Dawlatabad,AF,36.4141,64.9053,58.62,81,100,1.79,overcast clouds
94,Qaanaaq,GL,77.484,-69.3632,-9.18,98,100,2.3,overcast clouds
95,Zhigansk,RU,66.7697,123.3711,-19.98,98,99,12.48,overcast clouds
96,La Ronge,CA,55.1001,-105.2842,10.65,56,100,16.11,overcast clouds
97,Kieta,PG,-6.2167,155.6333,83.84,63,21,2.98,few clouds
98,Kamenka,RU,51.3223,42.7678,8.22,99,95,8.68,overcast clouds
99,Meulaboh,ID,4.1363,96.1285,76.73,88,53,3.69,broken clouds
100,Geraldton,AU,-28.7667,114.6,64.81,82,9,9.22,clear sky
101,Bethel,US,41.3712,-73.414,32.47,63,100,16.11,overcast clouds
102,Pitkyaranta,RU,61.5734,31.4792,32.25,99,100,3.18,overcast clouds
103,Atuona,PF,-9.8,-139.0333,78.91,71,89,13.4,overcast clouds
104,Muros,ES,42.7762,-9.0603,45.84,93,100,9.26,light rain
105,Tautira,PF,-17.7333,-149.15,81.0,75,92,9.46,overcast clouds
106,Port Lincoln,AU,-34.7333,135.8667,73.51,57,85,8.43,overcast clouds
107,Keshorai Patan,IN,25.3,75.9333,76.03,27,0,5.57,clear sky
108,Cabo San Lucas,MX,22.8909,-109.9124,77.61,54,0,12.66,clear sky
109,Tura,IN,25.5198,90.2201,68.7,29,15,3.33,few clouds
110,Saint George,US,37.1041,-113.5841,69.64,13,0,16.11,clear sky
111,Goure,NE,13.9835,10.2704,78.03,12,100,9.93,overcast clouds
112,Angoche,MZ,-16.2325,39.9086,76.82,91,100,6.46,moderate rain
113,Goderich,CA,43.7501,-81.7165,29.91,80,100,12.66,overcast clouds
114,Hilo,US,19.7297,-155.09,80.33,66,20,12.66,few clouds
115,Kaa-Khem,RU,51.6833,94.7333,16.88,96,100,2.15,light snow
116,Kuytun,RU,54.3419,101.5036,-26.25,100,76,2.64,broken clouds
117,Adrar,MR,20.5022,-10.0711,70.02,13,0,8.55,clear sky
118,Asfi,MA,32.2994,-9.2372,59.13,89,96,6.71,overcast clouds
119,Khandyga,RU,62.6667,135.6,-4.25,97,100,1.25,overcast clouds
120,Weston,US,26.1004,-80.3998,70.02,62,75,14.97,broken clouds
121,Karratha,AU,-20.7377,116.8463,85.73,68,3,8.55,clear sky
122,Hermanus,ZA,-34.4187,19.2345,52.81,61,89,10.85,overcast clouds
123,Dhidhdhoo,MV,6.8833,73.1,81.66,73,84,4.9,broken clouds
124,Saldanha,ZA,-33.0117,17.9442,60.15,61,96,18.66,overcast clouds
125,Marsala,IT,37.7966,12.4352,53.89,87,40,10.36,scattered clouds
126,Bijawar,IN,24.6333,79.5,72.72,21,0,3.71,clear sky
127,Lethem,GY,3.3803,-59.7968,84.52,60,100,9.4,overcast clouds
128,Veraval,IN,20.9,70.3667,78.17,43,3,9.98,clear sky
129,Ranfurly,NZ,-45.1333,170.1,66.11,70,17,2.91,few clouds
130,Hobart,AU,-42.8794,147.3294,62.46,83,75,9.22,broken clouds
131,Constitucion,CL,-35.3333,-72.4167,61.72,79,8,6.35,clear sky
132,Hithadhoo,MV,-0.6,73.0833,82.98,70,97,6.64,overcast clouds
133,Kinston,US,35.2627,-77.5816,46.72,31,0,10.36,clear sky
134,Gimli,CA,50.6336,-96.9907,17.62,53,99,4.61,overcast clouds
135,Amapa,BR,1.0,-52.0,73.08,98,100,3.33,moderate rain
136,Arraial Do Cabo,BR,-22.9661,-42.0278,78.04,88,63,15.79,broken clouds
137,Ekhabi,RU,53.5102,142.9671,13.17,96,100,4.88,overcast clouds
138,Alyangula,AU,-13.8483,136.4192,83.79,75,99,9.73,moderate rain
139,Lavrentiya,RU,65.5833,-171.0,11.05,70,1,3.78,clear sky
140,Mayna,RU,54.1135,47.6231,20.21,96,100,7.4,overcast clouds
141,Jaru,BR,-10.4389,-62.4664,75.54,93,94,2.89,overcast clouds
142,Saint-Augustin,CA,51.226,-58.6502,16.66,67,100,24.96,overcast clouds
143,Kavaratti,IN,10.5669,72.642,81.82,76,21,6.58,few clouds
144,Nyazepetrovsk,RU,56.0531,59.6028,-2.27,100,94,1.86,overcast clouds
145,Vostok,RU,46.4856,135.8833,21.76,94,98,2.26,overcast clouds
146,Chernigovka,RU,44.3389,132.5728,24.8,94,42,3.13,scattered clouds
147,Udachnyy,RU,66.4167,112.4,-29.43,100,100,2.24,overcast clouds
148,Georgetown,MY,5.4112,100.3354,80.53,97,20,1.14,few clouds
149,Raudeberg,NO,61.9875,5.1352,47.07,69,97,11.3,light rain
150,Naze,JP,28.3667,129.4833,67.12,87,8,4.38,clear sky
151,Aquiraz,BR,-3.9014,-38.3911,81.18,80,99,4.68,overcast clouds
152,Waingapu,ID,-9.6567,120.2641,80.44,81,84,3.24,broken clouds
153,San Quintin,MX,30.4833,-115.95,62.89,59,0,16.67,clear sky
154,Palmer,US,42.1584,-72.3287,32.5,40,40,12.66,scattered clouds
155,Puerto Carreno,CO,6.189,-67.4859,82.38,74,75,9.22,moderate rain
156,Grootfontein,NA,-19.5667,18.1167,63.97,94,100,2.3,overcast clouds
157,Dunedin,NZ,-45.8742,170.5036,63.59,61,4,3.24,clear sky
158,Nuuk,GL,64.1835,-51.7216,7.41,78,100,23.02,light shower snow
159,Half Moon Bay,US,37.4636,-122.4286,67.78,55,0,13.8,haze
160,Pevek,RU,69.7008,170.3133,-12.37,99,92,5.17,overcast clouds
161,Sawakin,SD,19.1059,37.3321,70.7,71,40,9.86,scattered clouds
162,Nikolskoye,RU,59.7035,30.7861,31.87,99,96,1.81,overcast clouds
163,Mar Del Plata,AR,-38.0023,-57.5575,67.08,87,0,4.61,clear sky
164,Nanortalik,GL,60.1432,-45.2371,32.14,67,95,46.77,light snow
165,Tamiahua,MX,21.2667,-97.45,66.65,73,89,6.62,overcast clouds
166,Biak,ID,-0.9131,122.8766,76.78,83,78,3.02,broken clouds
167,Mbour,SN,14.422,-16.9638,70.65,51,4,12.44,clear sky
168,Honningsvag,NO,70.9821,25.9704,37.15,79,52,15.35,broken clouds
169,Provideniya,RU,64.3833,-173.3,21.36,42,0,13.42,clear sky
170,Perth,AU,-31.9333,115.8333,69.67,90,0,6.91,clear sky
171,Gurupa,BR,-1.405,-51.64,74.8,97,93,3.51,light rain
172,Yerbogachen,RU,61.2767,108.0108,-25.47,100,100,1.9,overcast clouds
173,Yining,CN,29.0361,114.5636,67.05,89,32,0.81,scattered clouds
174,Bereda,ES,43.2686,-7.5406,42.58,100,76,2.3,broken clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,63,94,16.55,overcast clouds
176,Nome,US,64.5011,-165.4064,24.87,33,0,18.41,clear sky
177,Khorixas,NA,-20.3667,14.9667,67.37,79,100,5.37,overcast clouds
178,Kiruna,SE,67.8557,20.2251,18.52,86,54,6.91,broken clouds
179,Cockburn Town,TC,21.4612,-71.1419,77.9,80,7,13.18,clear sky
180,Bubaque,GW,11.2833,-15.8333,75.6,77,86,17.18,overcast clouds
181,Coihaique,CL,-45.5752,-72.0662,54.21,66,40,5.75,scattered clouds
182,Butaritari,KI,3.0707,172.7902,81.72,74,9,20.54,clear sky
183,Baykit,RU,61.67,96.37,-17.52,99,80,2.3,broken clouds
184,Kyaikkami,MM,16.08,97.5675,82.54,70,86,5.55,overcast clouds
185,Marzuq,YE,14.4,46.4667,61.72,55,29,5.23,scattered clouds
186,Rianxo,ES,42.6498,-8.8176,47.25,93,100,4.45,light rain
187,Byron Bay,AU,-28.65,153.6167,73.29,75,80,9.64,light rain
188,Mucurapo,TT,10.6667,-61.5333,79.25,67,93,11.54,overcast clouds
189,Boueni,YT,-12.9025,45.0761,78.78,75,100,7.87,overcast clouds
190,Lebu,CL,-37.6167,-73.65,59.27,76,2,21.09,clear sky
191,Avarua,CK,-21.2078,-159.775,84.25,79,40,5.75,scattered clouds
192,Nuevo Progreso,MX,23.1667,-97.95,67.53,56,80,5.01,broken clouds
193,Esperance,AU,-33.8667,121.9,66.04,87,31,12.48,scattered clouds
194,Victoria,HK,22.2855,114.1577,72.32,89,62,4.0,broken clouds
195,Vila Velha,BR,-20.3297,-40.2925,80.55,88,20,8.05,few clouds
196,Saint-Louis,SN,16.3333,-15.0,82.04,8,1,12.39,clear sky
197,Namie,JP,37.4833,141.0,58.71,82,100,5.7,overcast clouds
198,Acari,PE,-15.4311,-74.6158,76.08,71,88,6.76,overcast clouds
199,Mayumba,GA,-3.432,10.6554,77.92,87,90,3.69,overcast clouds
200,Esmeraldas,BR,-19.7625,-44.3139,79.84,90,99,1.86,overcast clouds
201,Shingu,JP,33.7333,135.9833,63.43,85,82,5.82,broken clouds
202,Simmerath,DE,50.6,6.3,46.51,89,100,4.0,overcast clouds
203,Verkhnevilyuysk,RU,63.4453,120.3167,-7.2,99,100,2.71,overcast clouds
204,Yellowknife,CA,62.456,-114.3525,0.41,61,0,13.8,clear sky
205,Hokitika,NZ,-42.7167,170.9667,64.92,55,0,3.67,clear sky
206,Ilebo,CD,-4.3167,20.5833,68.72,98,89,1.19,overcast clouds
207,Visnes,NO,59.3556,5.2242,45.21,49,40,14.97,scattered clouds
208,Bilma,NE,18.6853,12.9164,67.42,10,0,10.8,clear sky
209,Saryozek,KZ,44.3583,77.9753,42.15,93,100,4.85,overcast clouds
210,North Bend,US,43.4065,-124.2243,53.92,87,100,18.41,overcast clouds
211,Codrington,AU,-38.2667,141.9667,66.38,81,100,11.45,moderate rain
212,Atar,MR,20.5169,-13.0499,73.8,18,0,7.61,clear sky
213,Airai,TL,-8.9266,125.4092,64.29,86,99,2.13,overcast clouds
214,Vaini,TO,-21.2,-175.2,78.96,89,75,9.22,moderate rain
215,Fallon,US,39.4735,-118.7774,58.87,23,40,19.57,scattered clouds
216,Puerto Ayacucho,VE,5.6639,-67.6236,73.62,94,100,2.37,moderate rain
217,Bengkulu,ID,-3.8004,102.2655,75.6,93,100,6.82,overcast clouds
218,Oriximina,BR,-1.7656,-55.8661,76.78,93,100,0.76,moderate rain
219,Grande Prairie,CA,55.1667,-118.8027,10.58,67,100,9.22,overcast clouds
220,Pangnirtung,CA,66.1451,-65.7125,-25.38,90,21,5.64,few clouds
221,Santa Ines,BR,-3.6667,-45.38,74.52,95,51,3.98,broken clouds
222,Champerico,GT,14.3,-91.9167,88.34,63,87,10.96,overcast clouds
223,Obo,CF,5.3998,26.4869,72.25,62,100,4.14,overcast clouds
